Index   V(VIN_COMMON)         V(VQ)            V(VQB)      
303      1.04000000e-01    4.99894727e-01    4.99998001e-01
304      1.06000000e-01    4.99886740e-01    4.99998000e-01
305      1.08000000e-01    4.99878095e-01    4.99997997e-01
306      1.10000000e-01    4.99868736e-01    4.99997992e-01
307      1.12000000e-01    4.99858599e-01    4.99997986e-01
308      1.14000000e-01    4.99847616e-01    4.99997978e-01
309      1.16000000e-01    4.99835710e-01    4.99997969e-01
310      1.18000000e-01    4.99822800e-01    4.99997957e-01
311      1.20000000e-01    4.99808795e-01    4.99997943e-01
312      1.22000000e-01    4.99793598e-01    4.99997926e-01
313      1.24000000e-01    4.99777099e-01    4.99997906e-01
314      1.26000000e-01    4.99759181e-01    4.99997884e-01
315      1.28000000e-01    4.99739713e-01    4.99997857e-01
316      1.30000000e-01    4.99718555e-01    4.99997827e-01
317      1.32000000e-01    4.99695550e-01    4.99997793e-01
318      1.34000000e-01    4.99670528e-01    4.99997753e-01
319      1.36000000e-01    4.99643301e-01    4.99997708e-01
320      1.38000000e-01    4.99613663e-01    4.99997657e-01
321      1.40000000e-01    4.99581390e-01    4.99997599e-01
322      1.42000000e-01    4.99546232e-01    4.99997533e-01
323      1.44000000e-01    4.99507917e-01    4.99997457e-01
324      1.46000000e-01    4.99466146e-01    4.99997372e-01
325      1.48000000e-01    4.99420589e-01    4.99997274e-01
326      1.50000000e-01    4.99370883e-01    4.99997164e-01
327      1.52000000e-01    4.99316629e-01    4.99997037e-01
328      1.54000000e-01    4.99257386e-01    4.99996893e-01
329      1.56000000e-01    4.99192671e-01    4.99996729e-01
330      1.58000000e-01    4.99121947e-01    4.99996540e-01
331      1.60000000e-01    4.99044624e-01    4.99996325e-01
332      1.62000000e-01    4.98960051e-01    4.99996078e-01
333      1.64000000e-01    4.98867506e-01    4.99995794e-01
334      1.66000000e-01    4.98766191e-01    4.99995467e-01
335      1.68000000e-01    4.98655225e-01    4.99995090e-01
336      1.70000000e-01    4.98533628e-01    4.99994656e-01
337      1.72000000e-01    4.98400314e-01    4.99994154e-01
338      1.74000000e-01    4.98254078e-01    4.99993574e-01
339      1.76000000e-01    4.98093577e-01    4.99992902e-01
340      1.78000000e-01    4.97917317e-01    4.99992122e-01
341      1.80000000e-01    4.97723633e-01    4.99991217e-01
342      1.82000000e-01    4.97510660e-01    4.99990165e-01
343      1.84000000e-01    4.97276315e-01    4.99988941e-01
344      1.86000000e-01    4.97018257e-01    4.99987516e-01
345      1.88000000e-01    4.96733856e-01    4.99985854e-01
346      1.90000000e-01    4.96420145e-01    4.99983915e-01
347      1.92000000e-01    4.96073772e-01    4.99981651e-01
348      1.94000000e-01    4.95690930e-01    4.99979005e-01
349      1.96000000e-01    4.95267286e-01    4.99975912e-01
350      1.98000000e-01    4.94797886e-01    4.99972291e-01
351      2.00000000e-01    4.94277035e-01    4.99968052e-01
352      2.02000000e-01    4.93698158e-01    4.99963086e-01
353      2.04000000e-01    4.93053609e-01    4.99957264e-01
354      2.06000000e-01    4.92334437e-01    4.99950436e-01
355      2.08000000e-01    4.91530080e-01    4.99942424e-01
356      2.10000000e-01    4.90627947e-01    4.99933018e-01
357      2.12000000e-01    4.89612869e-01    4.99921970e-01
358      2.14000000e-01    4.88466326e-01    4.99908987e-01
359      2.16000000e-01    4.87165351e-01    4.99893724e-01
360      2.18000000e-01    4.85680938e-01    4.99875772e-01
361      2.20000000e-01    4.83975618e-01    4.99854647e-01
362      2.22000000e-01    4.81999657e-01    4.99829777e-01
363      2.24000000e-01    4.79684781e-01    4.99800483e-01
364      2.26000000e-01    4.76933220e-01    4.99765958e-01
365      2.28000000e-01    4.73597208e-01    4.99725246e-01
366      2.30000000e-01    4.69437138e-01    4.99677205e-01
367      2.32000000e-01    4.64026360e-01    4.99620474e-01
368      2.34000000e-01    4.56503039e-01    4.99553427e-01
369      2.36000000e-01    4.44820959e-01    4.99474111e-01
370      2.38000000e-01    4.23503483e-01    4.99380180e-01
371      2.40000000e-01    3.82769711e-01    4.99268795e-01
372      2.42000000e-01    3.28014599e-01    4.99136514e-01
373      2.44000000e-01    2.90136467e-01    4.98979130e-01
374      2.46000000e-01    2.70146240e-01    4.98791462e-01
375      2.48000000e-01    2.57571854e-01    4.98567091e-01
376      2.50000000e-01    2.48485889e-01    4.98297979e-01
377      2.52000000e-01    2.41362119e-01    4.97973927e-01
378      2.54000000e-01    2.35481912e-01    4.97581791e-01
379      2.56000000e-01    2.30455076e-01    4.97104302e-01
380      2.58000000e-01    2.26047481e-01    4.96518192e-01
381      2.60000000e-01    2.22107985e-01    4.95791086e-01
382      2.62000000e-01    2.18533478e-01    4.94875966e-01
383      2.64000000e-01    2.15250520e-01    4.93700368e-01
384      2.66000000e-01    2.12204976e-01    4.92142534e-01
385      2.68000000e-01    2.09355808e-01    4.89967766e-01
386      2.70000000e-01    2.06671177e-01    4.86591050e-01
387      2.72000000e-01    2.04125897e-01    4.78621661e-01
388      2.74000000e-01    2.01699711e-01    4.32725456e-03
389      2.76000000e-01    1.99376098e-01    3.90774597e-03
390      2.78000000e-01    1.97141413e-01    3.53139507e-03
391      2.80000000e-01    1.94984269e-01    3.19333916e-03
392      2.82000000e-01    1.92895076e-01    2.88934187e-03
393      2.84000000e-01    1.90865688e-01    2.61569753e-03
394      2.86000000e-01    1.88889137e-01    2.36915297e-03
395      2.88000000e-01    1.86959424e-01    2.14684305e-03
396      2.90000000e-01    1.85071356e-01    1.94623713e-03
397      2.92000000e-01    1.83220415e-01    1.76509420e-03
398      2.94000000e-01    1.81402651e-01    1.60142518e-03
399      2.96000000e-01    1.79614604e-01    1.45346086e-03
400      2.98000000e-01    1.77853229e-01    1.31962470e-03
401      3.00000000e-01    1.76115831e-01    1.19850946e-03
402      3.02000000e-01    1.74400024e-01    1.08885707e-03
403      3.04000000e-01    1.72703689e-01    9.89541332e-04
404      3.06000000e-01    1.71024945e-01    8.99552781e-04
405      3.08000000e-01    1.69362113e-01    8.17985599e-04
406      3.10000000e-01    1.67713698e-01    7.44026132e-04
407      3.12000000e-01    1.66078364e-01    6.76942828e-04
408      3.14000000e-01    1.64454921e-01    6.16077404e-04
409      3.16000000e-01    1.62842303e-01    5.60837043e-04
410      3.18000000e-01    1.61239561e-01    5.10687512e-04
411      3.20000000e-01    1.59645849e-01    4.65147058e-04
412      3.22000000e-01    1.58060412e-01    4.23781001e-04
413      3.24000000e-01    1.56482583e-01    3.86196918e-04
414      3.26000000e-01    1.54911770e-01    3.52040355e-04
415      3.28000000e-01    1.53347454e-01    3.20991011e-04
416      3.30000000e-01    1.51789181e-01    2.92759321e-04
417      3.32000000e-01    1.50236448e-01    2.67083401e-04
418      3.34000000e-01    1.48688717e-01    2.43726314e-04
419      3.36000000e-01    1.47145706e-01    2.22473622e-04
420      3.38000000e-01    1.45607190e-01    2.03131184e-04
421      3.40000000e-01    1.44072996e-01    1.85523182e-04
422      3.42000000e-01    1.42542998e-01    1.69490346e-04
423      3.44000000e-01    1.41017117e-01    1.54888355e-04
424      3.46000000e-01    1.39495325e-01    1.41586403e-04
425      3.48000000e-01    1.37977638e-01    1.29465899e-04
426      3.50000000e-01    1.36464277e-01    1.18419731e-04
427      3.52000000e-01    1.34955715e-01    1.08351200e-04
428      3.54000000e-01    1.33452131e-01    9.91714911e-05
429      3.56000000e-01    1.31953741e-01    9.08000014e-05
430      3.58000000e-01    1.30460813e-01    8.31636062e-05
431      3.60000000e-01    1.28973674e-01    7.61959506e-05
432      3.62000000e-01    1.27492711e-01    6.98368099e-05
433      3.64000000e-01    1.26018370e-01    6.40315106e-05
434      3.66000000e-01    1.24551165e-01    5.87304084e-05
